experiment,checkpoint_type,split,margin,embedding_dim,P,K,lr_scheduler,weight_decay,auc,eer,same_mean,same_std,diff_mean,diff_std
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,last,val_noisy_snr15,0.22,192,12,5,,,0.89390236,0.1905,0.48191288113594055,0.22721852362155914,0.05556328594684601,0.2421257346868515
cnn1d_emb192_m022_P12K5_lr00005,best,test,0.22,192,12,5,,,0.9720133950000001,0.0738,0.706895112991333,0.18376116454601288,0.05746027082204819,0.2561454474925995
cnn1d_emb192_m022_P12K5_lr00005,best,val,0.22,192,12,5,,,0.9943661349999999,0.03620000000000001,0.7678605318069458,0.13728871941566467,-0.003419109620153904,0.2517668306827545
cnn1d_emb192_m022_P12K5_lr00005_cosine,best,test,0.22,192,12,5,,,0.964596215,0.08050000000000002,0.6897273659706116,0.20603583753108978,0.05993364751338959,0.2528141140937805
cnn1d_emb192_m022_P12K5_lr00005_cosine,best,val,0.22,192,12,5,,,0.99358432,0.04020000000000001,0.7633082270622253,0.13350021839141846,0.004833810497075319,0.25083252787590027
cnn1d_emb192_m022_P12K5_lr00005_drop02,best,test,0.22,192,12,5,,,0.96429442,0.0829,0.696728527545929,0.19923321902751923,0.08288154006004333,0.24401246011257172
cnn1d_emb192_m022_P12K5_lr00005_drop02,best,val,0.22,192,12,5,,,0.9916612200000001,0.0456,0.7648084759712219,0.13997721672058105,0.030532993376255035,0.25081560015678406
cnn1d_emb192_m022_P12K5_lr00005_drop04,best,test,0.22,192,12,5,,,0.96337848,0.0867,0.7334393262863159,0.20046831667423248,0.0835583359003067,0.2791314125061035
cnn1d_emb192_m022_P12K5_lr00005_drop04,best,val,0.22,192,12,5,,,0.9917961750000001,0.04459999999999997,0.7948364019393921,0.12871411442756653,0.03766563534736633,0.27893325686454773
cnn1d_emb192_m022_P12K5_lr00005_wd5e5,best,test,0.22,192,12,5,,,0.963506885,0.0706,0.6943686008453369,0.20728641748428345,0.06113600358366966,0.24270391464233398
cnn1d_emb192_m022_P12K5_lr00005_wd5e5,best,val,0.22,192,12,5,,,0.992649905,0.04010000000000001,0.7492014765739441,0.14134056866168976,0.014565197750926018,0.24688822031021118
cnn1d_emb192_m022_P15K4_lr00005,best,test,0.22,192,15,4,,,0.960073935,0.0829,0.6939061284065247,0.21208293735980988,0.09314897656440735,0.24136923253536224
cnn1d_emb192_m022_P15K4_lr00005,best,val,0.22,192,15,4,,,0.993199935,0.04259999999999997,0.7558259963989258,0.13826920092105865,0.011106657795608044,0.24788977205753326
cnn1d_emb192_m022_P8K8_lr00005,best,test,0.22,192,8,8,,,0.9662494,0.07989999999999997,0.7113948464393616,0.19423647224903107,0.08439689874649048,0.2605940103530884
cnn1d_emb192_m022_P8K8_lr00005,best,val,0.22,192,8,8,,,0.994710065,0.03590000000000002,0.7850556373596191,0.12186473608016968,0.006953225936740637,0.26840940117836
cnn1d_emb192_m025_P12K5_lr00005,best,test,0.25,192,12,5,,,0.968145735,0.0757,0.6896566152572632,0.19525545835494995,0.06014614924788475,0.24829772114753723
cnn1d_emb192_m025_P12K5_lr00005,best,val,0.25,192,12,5,,,0.9930035350000002,0.0395,0.7577686905860901,0.1382930427789688,0.004289634525775909,0.2501585781574249
cnn1d_emb192_m025_P16K4_lr00005,best,test,0.25,192,16,4,,,0.9624157999999999,0.08020000000000002,0.6853883266448975,0.20868133008480072,0.08475624769926071,0.23284704983234406
cnn1d_emb192_m025_P16K4_lr00005,best,val,0.25,192,16,4,,,0.99344225,0.03839999999999999,0.7479456067085266,0.14006167650222778,0.009338118135929108,0.23325024545192719
cnn1d_emb192_m028_P12K5_lr00005,best,test,0.28,192,12,5,,,0.9681514950000001,0.08360000000000001,0.7144803404808044,0.19017203152179718,0.06266506016254425,0.26615697145462036
